指标名称,36城市服务价格:有线电视收费:有线电视收费,出口数量:彩色电视机(包括整套散件):当月值,出口金额:彩色电视机(包括整套散件):当月值,申万行业指数:有线电视网络,申万行业指数:广播电影电视,Wind行业指数:有线和卫星电视,耐用品采购订单指数:电视机:环比,价格:液晶显示器面板:21.5寸:LED:FHD,价格:液晶电视面板:32寸:Open Cell:WXGA,"平均价:液晶电视面板:50""W 1920x1080 50/60Hz Open-Cell","平均价:液晶电视面板:32""W 1366x768 50/60Hz Open-Cell","零售均价:液晶电视:32"" LED","零售均价:液晶电视:55"" LED",产量:彩色电视机:累计值,销量:彩色电视机:累计值,出货量:液晶电视面板:当月值,出货量:大尺寸面板:液晶电视:当月值,出口数量:电视机(包括整套散件):当月值,进口数量:电视显像管:当月值,进口数量:彩色显像管:当月值,进口数量:二极管及类似半导体器件:当月值,进口数量:集成电路:当月值,进口平均单价:电视、收音机及无线电讯设备的零附件:当月值,进口平均单价:电容器:当月值,进口平均单价:电阻器:当月值,创维数码:销量:电视机:当月值
2013-05-28,,,,2530.71 ,3372.23 ,2575.47 ,,,,,,,,,,,,,,,,,,,,
2013-05-29,,,,2545.98 ,3406.56 ,2587.96 ,,,,,,,,,,,,,,,,,,,,
2013-05-30,,,,2552.53 ,3487.31 ,2583.28 ,,,,,,,,,,,,,,,,,,,,
2013-05-31,,450.00 ,83580.50 ,2478.82 ,3420.60 ,2507.07 ,-3.30 ,,,,,351.00 ,1205.00 ,,,20.90 ,20353.00 ,450.00 ,2.00 ,2.00 ,31014.00 ,22003.00 ,116147.74 ,95109.42 ,100690.86 ,1022.00 
2013-06-03,,,,2453.40 ,3465.47 ,2486.15 ,,,,,,,,,,,,,,,,,,,,
2013-06-04,,,,2371.91 ,3257.92 ,2403.83 ,,74.80 ,99.00 ,,,,,,,,,,,,,,,,,
2013-06-05,,,,2396.85 ,3274.09 ,2425.43 ,,,,,,,,,,,,,,,,,,,,
2013-06-06,,,,2418.21 ,3276.88 ,2450.07 ,,,,,,,,,,,,,,,,,,,,
2013-06-07,,,,2385.16 ,3331.91 ,2419.96 ,,,,,,,,,,,,,,,,,,,,
2013-06-13,,,,2365.55 ,3328.53 ,2414.18 ,,,,,,,,,,,,,,,,,,,,
2013-06-14,,,,2471.92 ,3408.94 ,2518.89 ,,,,,,,,,,,,,,,,,,,,
2013-06-17,,,,2526.71 ,3481.15 ,2576.48 ,,,,,,,,,,,,,,,,,,,,
2013-06-18,,,,2541.48 ,3468.59 ,2593.67 ,,,,,,,,,,,,,,,,,,,,
2013-06-19,,,,2532.33 ,3470.64 ,2600.50 ,,74.80 ,98.00 ,,,,,,,,,,,,,,,,,
2013-06-20,,,,2450.26 ,3481.75 ,2512.20 ,,,,,99.00 ,,,,,,,,,,,,,,,
2013-06-21,,,,2443.31 ,3457.67 ,2514.15 ,,,,,,,,,,,,,,,,,,,,
2013-06-24,,,,2297.05 ,3362.20 ,2379.84 ,,,,,,,,,,,,,,,,,,,,
2013-06-25,,,,2336.24 ,3404.42 ,2423.02 ,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,,2480.27 ,3504.57 ,2583.65 ,,,,,,,,,,,,,,,,,,,,
2013-06-27,,,,2413.41 ,3445.78 ,2513.76 ,,,,,,,,,,,,,,,,,,,,
2013-06-28,,,,2412.08 ,3418.05 ,2512.73 ,,,,,,,,,,,,,,,,,,,,
